Transaction_Date,Transaction_Time,Customer_ID,Customer_Type,Transaction_Type,Transaction_Amount,Is_Fraudulent
2023-04-13,19:28:14,45732,Standard,Online,48.74,0
2023-12-26,23:02:21,1769,Standard,POS,21.49,1
2023-10-04,00:11:57,29693,Premium,Online,10.4,0
2023-07-07,15:14:46,36773,Premium,Online,997.41,0
2023-05-11,04:50:06,31740,Standard,Online,61.2,0
2023-12-12,20:01:19,24483,Premium,Online,1093.33,0
2023-07-25,16:35:49,4943,Standard,Online,80.45,1
2023-08-06,11:33:09,27557,Basic,ATM,10.0,0
2023-08-03,07:20:15,25300,Premium,POS,64.22,0
2023-02-10,14:44:00,49984,Basic,ATM,10.0,0
2023-03-04,10:50:16,34159,Standard,ATM,29.81,0
2023-05-15,08:07:11,49033,Premium,Online,158.35,0
2023-10-20,02:43:39,11965,Basic,Online,28.84,0
2023-08-06,22:13:38,1206,Standard,Online,25.18,0
2023-03-04,06:48:51,46151,Standard,Online,155.59,0
2023-01-13,06:58:50,23299,Basic,POS,237.35,0
2023-05-14,11:43:19,49925,Basic,Online,14.47,0
2023-10-10,19:12:40,10474,Premium,Online,110.79,0
2023-06-14,00:50:41,1663,Basic,Online,132.45,0
2023-02-21,11:38:01,24938,Standard,Online,67.32,1
2023-04-23,01:01:27,47645,Premium,Online,3464.33,0
2023-08-06,05:31:54,5931,Premium,Online,1995.58,0
2023-10-21,23:04:51,41545,Standard,Online,16.63,0
2023-05-28,03:18:25,35754,Basic,Online,11.4,0
2023-05-08,06:17:39,38504,Standard,ATM,48.92,0
2023-09-20,15:25:47,42976,Standard,Online,10.0,0
2023-09-11,11:04:36,30855,Standard,Online,259.63,0
2023-06-01,21:55:32,13183,Basic,POS,10.13,0
2023-04-14,19:34:47,3557,Basic,POS,10.0,0
2023-06-12,15:40:35,25736,Premium,Online,78.19,0
2023-05-15,02:16:32,5555,Standard,ATM,73.03,0
2023-02-20,21:07:26,31746,Standard,Online,10.0,0
2023-11-13,15:18:03,38410,Standard,Online,53.84,0
2023-01-06,02:59:40,34828,Basic,Online,24.3,0
2023-04-09,00:51:20,36743,Basic,Online,24.88,0
2023-02-27,02:39:45,37631,Premium,ATM,43.59,0
2023-05-07,09:01:25,1784,Basic,Online,31.49,0
2023-01-26,02:49:24,11647,Basic,Online,118.98,0
2023-06-22,19:00:07,7655,Standard,Online,10.0,0
2023-02-20,21:57:57,32024,Premium,POS,9728.78,0
2023-04-11,00:07:52,4051,Basic,Online,13.58,0
2023-12-21,22:39:51,40567,Basic,Online,31.13,0
2023-05-25,23:18:27,38945,Premium,Online,126.76,0
2023-01-01,14:33:31,8805,Premium,Online,4875.38,0
2023-09-29,06:04:21,9130,Premium,Online,282.57,0
2023-12-07,06:35:32,38220,Standard,ATM,361.31,0
2023-10-17,19:30:09,24289,Basic,Online,138.87,0
2023-12-02,22:01:48,26471,Standard,POS,107.66,0
2023-06-12,00:32:50,29074,Basic,Online,26.6,1
2023-09-21,09:25:33,42576,Standard,ATM,18.1,0
2023-03-16,23:35:24,24548,Premium,Online,1237.61,0
2023-02-05,17:48:38,35911,Standard,POS,136.29,0
2023-07-02,12:22:24,3914,Premium,POS,3430.77,0
2023-07-06,18:48:35,17779,Basic,POS,24.61,0
2023-10-11,13:30:51,6486,Premium,Online,2176.15,0
2023-02-22,22:15:56,2062,Premium,Online,10044.77,0
2023-08-11,04:34:22,9924,Standard,Online,89.61,0
2023-09-10,05:06:45,47732,Premium,Online,173.19,0
2023-07-13,04:28:36,27962,Standard,POS,44.77,0
2023-10-28,03:35:05,24803,Premium,ATM,561.71,0
2023-04-01,09:25:18,29710,Standard,Online,308.74,0
2023-11-13,08:38:00,40298,Standard,POS,10.0,0
2023-11-08,00:37:52,3105,Premium,POS,677.53,0
2023-08-15,18:19:56,49529,Premium,Online,411.12,0
2023-01-01,20:53:53,4330,Basic,Online,17.98,0
2023-01-08,03:25:07,20129,Premium,Online,1744.92,0
2023-08-16,21:16:08,14216,Standard,ATM,17.6,0
2023-03-23,18:04:46,11136,Standard,POS,40.37,0
2023-01-05,22:55:32,28712,Standard,POS,340.08,0
2023-11-11,16:12:32,19017,Premium,Online,145.96,0
2023-11-07,05:27:16,33606,Standard,POS,444.83,0
2023-03-24,16:20:13,39765,Premium,Online,993.84,0
2023-10-15,01:27:30,8239,Premium,Online,2733.11,0
2023-02-23,11:04:29,25285,Standard,Online,48.92,0
2023-07-26,04:20:13,38441,Basic,POS,29.53,0
2023-12-04,14:26:50,11209,Standard,Online,57.94,0
2023-01-30,22:41:50,44088,Basic,Online,19.79,0
2023-03-10,01:05:52,6569,Standard,ATM,99.39,0
2023-04-21,22:54:15,7238,Standard,ATM,74.86,0
2023-12-18,02:26:28,11161,Standard,Online,18.27,0
2023-04-02,09:21:20,40749,Premium,Online,175.83,0
2023-10-28,08:25:56,23574,Standard,Online,12.97,0
2023-11-15,15:16:25,14568,Premium,Online,418.06,0
2023-01-14,22:13:23,49513,Standard,Online,79.74,0
2023-01-07,02:46:22,20181,Standard,Online,35.52,0
2023-07-11,22:36:27,26289,Standard,POS,193.36,0
2023-05-06,11:24:16,4596,Standard,ATM,37.85,0
2023-04-21,21:33:46,8943,Standard,Online,322.45,0
2023-04-11,05:51:25,49447,Standard,Online,56.44,0
2023-05-30,20:05:05,6622,Standard,POS,76.34,0
2023-12-16,23:54:08,14046,Premium,Online,523.72,0
2023-12-01,05:53:48,47685,Premium,ATM,1102.28,0
2023-12-01,10:07:25,47514,Basic,Online,38.11,0
2023-01-01,13:37:36,2917,Premium,Online,118.85,0
2023-06-10,05:49:55,1009,Standard,Online,115.81,0
2023-11-15,04:08:16,28534,Standard,Online,16.2,0
2023-11-01,04:59:43,43929,Premium,ATM,321.57,0
2023-11-16,07:10:40,31523,Premium,Online,319.41,0
2023-03-19,03:24:44,18449,Standard,POS,10.0,0
2023-12-19,22:14:32,20096,Standard,Online,16.29,0
2023-11-05,07:39:50,12302,Premium,POS,52.69,0
2023-01-15,14:28:32,26053,Basic,ATM,44.13,0
2023-04-07,04:26:54,3336,Premium,Online,827.55,0
2023-10-21,12:30:46,7371,Standard,ATM,57.04,0
2023-05-16,04:28:46,19755,Standard,ATM,201.62,0
